strategy,threads,avg_ms,p95_ms,p99_ms,max_ms,retry_avg,conflict_total
optimistic,50,937611903,2650753509,2859431774,2859431774,8.10,405
optimistic,100,961034455,2933447247,3355036122,4040111789,8.46,846
optimistic,200,985813518,3012956431,4018778592,4525770835,8.75,1750
pessimistic,50,110835128,129738603,133605420,133605420,0.00,0
pessimistic,100,104970599,120458491,125375788,126872297,0.00,0
pessimistic,200,104019342,122388651,129987549,133109406,0.00,0
stateService,50,106432902,116965621,119071438,119071438,0.00,0
stateService,100,108318396,125344672,130789562,132011317,0.00,0
stateService,200,105266362,126157420,135774944,141216518,0.00,0
stateService,200,103682452,112474183,131042844,138828754,0.00,0
stateService,200,0,0,0,0,0.00,0
stateService,200,7158950,35041340,67961666,69987613,0.00,0
stateService,200,8706754,35719174,102389442,122653225,0.00,0
stateService,200,7055120,32166735,48220866,53081802,1.10,220
stateService,200,20405015,68413368,104822474,187198323,0.00,0
stateService,200,4820353,27503911,34542775,37969316,0.00,0
stateService,200,6061989,32499634,45138533,59218281,0.00,0
stateService,200,6303693,28948976,46069779,49421697,1.21,242
stateService,200,6937856,33954787,55888643,83743302,1.08,216
stateService,200,9987433,51627910,71488221,85814943,1.03,206
stateService,200,7292637,30791881,51279862,71873298,0.96,191
stateService,200,5707654,28086267,39244861,55615946,0.00,0
stateService,200,4940264,24703020,34552181,37560722,0.00,0
stateService,200,6726658,34012668,41017087,42407301,0.00,0
stateService,200,21701771,87048633,122804589,191130107,0.00,0
stateService,200,24273498,107630829,152939940,184236712,0.00,0
stateService,200,22832108,102071474,132842005,234188018,0.00,0
